Scenario,Code,Category,Return_Chg_%,Vol_Chg_%,Sharpe_Chg,PnL_INR,PnL_%,Likelihood,Duration,Recovery
Global Financial Crisis,CRISIS_1,🔴 SEVERE,-44.99999999999999,201.91212889784111,-0.2285314274339878,-449999.99999999994,-44.99999999999999,Very Rare (1-2% annual),12-18 months,24-36 months
Black Swan Pandemic/War,CRISIS_2,🔴 SEVERE,-40.0,242.91703289221482,0.007767323824764638,-400000.0,-40.0,Extremely Rare (<1% annual),"1 month crash, 6 months total",6-12 months (if strong policy response)
India Economic Slowdown,MOD_1,🟠 MODERATE,-21.999999999999993,65.10528595784055,-0.4096321127994127,-219999.99999999994,-21.999999999999993,Moderate (10-15% annual),6-12 months,12-18 months
US Fed Rate Shock,MOD_2,🟠 MODERATE,-17.999999999999996,49.54659443292735,-0.3951242955854968,-179999.99999999997,-17.999999999999996,Moderate (15-20% annual),3-9 months,6-12 months
Banking/NBFC Crisis,MOD_3,🟠 MODERATE,-28.000000000000004,90.71504511780421,-0.4098012542938281,-280000.0,-28.000000000000004,Low-Moderate (5-8% annual),6-18 months,18-30 months
Healthy Market Correction,MILD_1,🟡 MILD,-10.999999999999998,29.332112189270433,-0.2865867805287823,-109999.99999999999,-10.999999999999998,High (40-50% annual),1-3 months,3-6 months
Profit Booking/Rotation,MILD_2,🟡 MILD,-6.999999999999998,17.00974210287216,-0.2158568183962064,-69999.99999999999,-6.999999999999998,Very High (60-70% annual),2-6 weeks,1-3 months
RBI Rate Hike Cycle,INDIA_1,🔵 INDIA-SPECIFIC,-15.0,42.712613153319914,-0.3349740615951091,-150000.0,-15.0,Moderate (15-20% annual),6-15 months,9-18 months
Monsoon Failure,INDIA_2,🔵 INDIA-SPECIFIC,-8.999999999999996,23.47541758132914,-0.24987939129185865,-89999.99999999997,-8.999999999999996,Moderate (10-15% annual),6-9 months,6-12 months
Geopolitical Tension,INDIA_3,🔵 INDIA-SPECIFIC,-10.0,35.97402563330208,-0.1787515437430891,-100000.0,-10.0,Moderate (20-30% annual),2-12 weeks,1-3 months
IT Sector Crash,SECTOR_1,🔷 SECTORAL,-31.999999999999996,98.73126823328762,-0.474543070062146,-319999.99999999994,-31.999999999999996,Moderate (10-15% annual),6-18 months,18-36 months
Oil Price Shock,SECTOR_2,🔷 SECTORAL,-16.0,47.99826549233175,-0.327926713438065,-160000.0,-16.0,Moderate (15-20% annual),6-18 months,12-24 months
India Growth Boom,POS_1,🟢 POSITIVE,25.0,-19.094459361710037,1.6342919046795714,250000.0,25.0,Moderate (15-20% annual),12-36 months,N/A (positive)
Sector Bull Run,POS_2,🟢 POSITIVE,18.0,-12.140910749641975,1.1020133750305237,180000.0,18.0,Moderate-High (25-35% annual),12-30 months,N/A (positive)
